"text","player"
"How now, what art thou?","LEAR"
"  A man, sir.","KENT"
"  What dost thou profess? What wouldst thou with","LEAR"
"us?","LEAR"
"  I do profess to be no less than I seem, to serve","KENT"
"him truly that will put me in trust, to love him that","KENT"
"is honest, to converse with him that is wise and says","KENT"
"little, to fear judgment, to fight when I cannot","KENT"
"choose, and to eat no fish.","KENT"
"  What art thou?","LEAR"
"  A very honest-hearted fellow, and as poor as the","KENT"
"King.","KENT"
"  If thou be'st as poor for a subject as he's for a","LEAR"
"king, thou art poor enough. What wouldst thou?","LEAR"
"  Service.","KENT"
"  Who wouldst thou serve?","LEAR"
"  You.","KENT"
"  Dost thou know me, fellow?","LEAR"
"  No, sir, but you have that in your countenance","KENT"
"which I would fain call master.","KENT"
"  What's that?","LEAR"
"  Authority.","KENT"
"  What services canst do?","LEAR"
"  I can keep honest counsel, ride, run, mar a","KENT"
"curious tale in telling it, and deliver a plain message","KENT"
"bluntly. That which ordinary men are fit for I","KENT"
"am qualified in, and the best of me is diligence.","KENT"
"  How old art thou?","LEAR"
"  Not so young, sir, to love a woman for singing,","KENT"
"nor so old to dote on her for anything. I have years","KENT"
"on my back forty-eight.","KENT"
"  Follow me. Thou shalt serve me--if I like thee","LEAR"
"no worse after dinner. I will not part from thee","LEAR"
"yet.--Dinner, ho, dinner!--Where's my knave, my","LEAR"
"Fool? Go you and call my Fool hither.","LEAR"
"You, you, sirrah, where's my daughter?","LEAR"
"  So please you--	","OSWALD"
"  What says the fellow there? Call the clotpole","LEAR"
"back.  Where's my Fool? Ho! I think","LEAR"
